Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Cilacap,2013,1322.0,1255.750749699333,9.498871026469992,"Meteorologi, Cilacap",82.0
Banyumas,2013,1671.0,2172.471502658071,13.00102634744507,,83.15625
Purbalingga,2013,731.0,780.8881845490296,10.68246490491149,,83.75
Banjarnegara,2013,2278.0,1970.754693925778,8.651249753844505,,83.96875
Kebumen,2013,2202.0,1938.738197195212,8.804442312421493,"Sempor, Kebumen",84.0
Purworejo,2013,1012.0,1779.205166704972,17.58107872238114,,82.5
Wonosobo,2013,326.0,277.5380169084751,8.513436101486967,"Wadaslintang, Wonosobo",81.0
Magelang,2013,682.0,1101.924774223633,16.15725475401221,"SMPK. Borobudur, Magelang",82.0
Boyolali,2013,3182.0,4639.818632729367,14.5814539054977,,81.916
Klaten,2013,1904.0,1890.887458325091,9.93113160885027,,81.688
Sukoharjo,2013,7251.0,7980.061498760797,11.00546338265177,,81.352
Wonogiri,2013,28883.0,41493.15988766816,14.36594532689408,,80.944
Karanganyar,2013,4233.0,6336.469051718767,14.96921580845445,,80.5
Sragen,2013,8164.0,17779.50393058164,21.77793230105541,,80.05600000000001
Grobogan,2013,878.0,1243.005265510967,14.15723537028436,,79.648
Blora,2013,2394.0,2352.876273247034,9.828221692761211,,79.312
Rembang,2013,4007.0,4330.628369366514,10.80765752275147,,79.08399999999999
Pati,2013,2696.0,3431.727309022115,12.72895886135799,"SMPK. Rendole, Pati",79.0
Kudus,2013,735.0,893.2473704339714,12.15302544808124,"SMPK. Colo, Kudus",79.0
Jepara,2013,9545.0,15907.08200991291,16.66535569398943,,78.74074074074075
Demak,2013,253.0,312.5617974625233,12.354221243578,,78.25925925925927
Semarang,2013,2523.0,2225.971576739395,8.822717307726498,"Klimatologi, Semarang",78.0
Semarang,2013,2523.0,2225.971576739395,8.822717307726498,"SI Ungaran, Semarang",79.0
Temanggung,2013,440.0,459.8202874544832,10.45046107851098,,80.22222222222221
Kendal,2013,1518.0,1795.990887691565,11.83129702036604,,81.44444444444444
Batang,2013,483.0,624.3469342914091,12.92643756296913,"Gamer, Batang",82.0
Pekalongan,2013,326.0,277.6256836422185,8.516125265098728,,81.22222222222223
Pemalang,2013,1598.0,1168.600695582043,7.312895466721168,,79.77777777777777
Tegal,2013,281.0,340.9228125047305,12.13248443077333,"Meteorologi, Tegal",79.0
Brebes,2013,586.0,840.011258157568,14.33466310849092,,79.07211538461539
Kota Magelang,2013,0.0,0.0,0.0,,79.27403846153845
Kota Surakarta,2013,9.0,6.334032090308638,7.037813433676265,,79.58413461538461
Kota Salatiga,2013,0.0,0.0,0.0,,79.98076923076924
Kota Semarang,2013,341.0,422.0756912418937,12.37758625342797,,80.44230769230768
Kota Pekalongan,2013,0.0,0.0,0.0,,80.94711538461537
Kota Tegal,2013,0.0,0.0,0.0,,81.4735576923077
Cilacap,2014,1080.0,923.011,8.546398148148148,"Meteorologi, Cilacap",82.0
Banyumas,2014,1789.0,2728.694,15.25262157629961,,82.7608173076923
Purbalingga,2014,649.0,1052.788,16.22169491525424,,83.75961538461539
Banjarnegara,2014,2463.0,1952.124,7.925797807551767,,84.62860576923076
Kebumen,2014,2188.0,2607.532,11.91742230347349,"Sempor, Kebumen",85.0
Purworejo,2014,1271.0,1458.992,11.47908733280881,,83.79347826086956
Wonosobo,2014,247.0,286.399,11.5951012145749,"Wadaslintang, Wonosobo",82.0
Magelang,2014,730.0,986.236,13.51008219178082,"SMPK. Borobudur, Magelang",81.0
Boyolali,2014,4238.0,4842.000017777777,11.42520060825337,,82.40625
Klaten,2014,1906.0,2442.641,12.8155351521511,,85.5
Sukoharjo,2014,6429.0,11455.728,17.81883341110593,,88.59375
Wonogiri,2014,31084.0,35234.121,11.33513093552953,"SMPK. Selogiri, Wonogiri",90.0
Karanganyar,2014,3506.0,4614.291999999999,13.16112949229892,,89.11111111111111
Sragen,2014,6419.0,9777.933,15.23279794360492,,86.88888888888889
Grobogan,2014,550.0,1193.223,21.69496363636364,,84.0
Blora,2014,2184.0,3227.332,14.77716117216117,,81.11111111111111
Rembang,2014,3263.0,3233.98,9.911063438553478,,78.88888888888889
Pati,2014,2905.0,4583.661,15.77852323580034,"SMPK. Rendole, Pati",78.0
Kudus,2014,1155.0,1274.09,11.03108225108225,"SMPK. Colo, Kudus",78.0
Jepara,2014,11550.0,18000.534,15.58487792207792,,77.48148148148148
Demak,2014,281.0,407.836,14.51373665480427,,76.51851851851852
Semarang,2014,2300.0,3126.228,13.59229565217391,"Klimatologi, Semarang",76.0
Semarang,2014,2300.0,3126.228,13.59229565217391,"SI Ungaran, Semarang",76.0
Temanggung,2014,210.0,281.003,13.38109523809524,,77.55555555555556
Kendal,2014,1114.0,1459.274,13.09940754039497,,80.44444444444444
Batang,2014,433.0,503.1129999999999,11.61923787528868,"Gamer, Batang",82.0
Pekalongan,2014,385.0,474.167,12.31602597402597,,80.96296296296296
Pemalang,2014,456.0,508.206,11.14486842105263,,79.03703703703704
Tegal,2014,191.0,353.194,18.49183246073298,"Meteorologi, Tegal",78.0
Brebes,2014,594.0,826.68,13.91717171717172,,78.21484375
Kota Magelang,2014,0.0,0.0,0.0,,78.78125
Kota Surakarta,2014,8.0,9.0,11.25,,79.58203125
Kota Salatiga,2014,3.0,4.668,15.56,,80.5
Kota Semarang,2014,281.0,329.256,11.71729537366548,,81.41796875
Kota Pekalongan,2014,0.0,0.0,0.0,,82.21875
Kota Tegal,2014,0.0,0.0,0.0,,82.78515625
Cilacap,2015,1327.0,1420.68,10.70595327807084,"Meteorologi, Cilacap",83.0
Banyumas,2015,1466.0,2352.036,16.04390177353342,,82.0625
Purbalingga,2015,474.0,805.891,17.00191983122363,,80.0
Banjarnegara,2015,585.0,792.796,13.55206837606838,,77.9375
Kebumen,2015,2033.0,2426.368,11.93491392031481,"Sempor, Kebumen",77.0
Purworejo,2015,1682.0,1885.356,11.20901307966706,,78.5
Wonosobo,2015,188.0,310.344,16.50765957446809,"Wadaslintang, Wonosobo",80.0
Magelang,2015,453.0,814.6300000000001,17.98300220750552,"SMPK. Borobudur, Magelang",78.0
Boyolali,2015,2477.0,3131.9,12.64392410173597,,78.028
